函数名              如果是下列参数时，返回值为真 

isalnum()           字母数字（字母或数字）
isalpha()           字母
isblank()           标注的空白字符（空格，水平制表符或换行符）
iscntrl()           控制字符，如Ctrl+B
isdigit()           数字
isgraph()           除空格之外的任意可打印字符
islower()           小写字母
isprint()           可打印字符
ispunct()           标点符号
isspace()           空白字符（空格，换行符，换页符等）
isupper()           大写字母
isxdigit()          十六进制数字符

tolower()           如果参数是大写字符，该函数返回小写字符；否则，返回原始参数
toupper()           如果参数是小写字符，该函数返回大写字符；否则，返回原始参数
